no,kod_masco,tajuk_pekerjaan
3712,7114-04,Pekerja Besi Bertetulang
3713,7114-05,Pelentur Keluli
3714,7114-06,Pengemas Simen
3715,7114-07,Pekerja Simen
3716,7114-08,"Pekerja Simen, Telaga Petroleum dan Gas"
3717,7114-09,Pemasang Keluli
3718,7115,Tukang Kayu Dan Tukang Tanggam
3719,7115-01,Tukang Kayu
3720,7115-02,Tukang Kayu Pembinaan
3721,7115-03,Tukang Tanggam Pembinaan
3722,7115-04,Tukang Tanggam Kapal
3723,7115-05,Pembina Bot Kayu
3724,7115-06,Serimala Kayu
3725,7115-07,Tukang Kayu Kapal
3726,7115-08,Tukang Tanggam Pesawat
3727,7115-09,Tukang Kayu Pentas dan Studio
3728,7115-10,Tukang Kayu Meja
3729,7115-11,Tukang Ukir Kayu
3730,7115-14,Pembelah Kayu
3731,7119,Pekerja Kerangka Bangunan Dan Pekerja Pertukangan Berkaitan Yang Tidak Dikelaskan Di Mana-Mana
3732,7119-01,Tukang Pasang Longkang
3733,7119-02,Pekerja Peruntuhan
3734,7119-03,Pemasang Papan Iklan
3735,7119-04,Tukang Menara
3736,712,Pekerja Penyiap Bangunan Dan Pekerja Pertukangan Yang Berkaitan
3737,7121,Pemasang Bumbung
3738,7121-01,Pemasang Bumbung
3739,7121-07,Pemasang Atap Pelindung
3740,7121-08,Pemasang Siling
3741,7121-09,"Pemasang Bumbung, Rencaman"
3742,7122,Penurap Lantai Dan Pengatur Jubin
3743,7122-01,Pemasang Jubin
3744,7122-08,Penggilap Marmar
3745,7122-09,Tukang Pasang Permaidani
3746,7123,Tukang Plaster
3747,7123-01,Tukang Plaster
3748,7124,Tukang Penebatan
3749,7124-01,Tukang Penebat
3750,7124-02,"Tukang Penebat, Bangunan"
3751,7124-06,"Tukang Penebat, Peralatan Penyejukan"
3752,7124-08,"Tukang Penebat, Kalis Bunyi"
3753,7124-09,Pemasang Penebat
3754,7125,Tukang Kaca
3755,7125-01,Tukang Kaca
3756,7125-03,"Tukang Kaca, Kenderaan"
3757,7126,Tukang Paip Dan Jurugegas Paip
3758,7126-01,Tukang Paip
3759,7126-02,Jurugegas Paip
3760,7126-03,Jurugegas Tiub Paip Pesawat
3761,7126-04,"Jurugegas Paip, Bekalan Air"
3762,7126-05,"Jurugegas Paip, Kumbahan"
3763,7126-06,"Jurugegas Paip, Marin"
3764,7126-07,"Jurugegas Paip, Pengalihudaran"
3765,7126-08,Penggali Telaga
3766,7126-09,Jurugegas
3767,7126-10,Tukang Pasang Paip
3768,7126-11,Tukang Boring Air
3769,7127,Mekanik Penyaman Udara Dan Penyejukan
3770,7127-01,Mekanik Kelengkapan Penyejukan
3771,7127-02,Mekanik Kelengkapan Penyaman Udara
3772,713,"Tukang Cat, Pencuci Struktur Bangunan Dan Pekerja Pertukangan Yang Berkaitan"
3773,7131,Tukang Cat Dan Pekerja Yang Berkaitan
3774,7131-01,Tukang Cat
3775,7131-02,"Tukang Cat, Kaca"
3776,7131-03,"Tukang Cat, Seramik"
3777,7131-05,"Tukang Cat, Struktur Keluli"
3778,7131-06,Pemasang Kertas Dinding
3779,7131-08,"Tukang Cat, Logam"
3780,7131-09,Pengecat Papan Tanda
3781,7131-10,"Tukang Cat, Badan Kapal"
3782,7131-11,Pengecat Salutan Serbuk
3783,7132,Tukang Sembur Cat Dan Varnis
3784,7132-01,Penyembur Cat
3785,7132-04,Penyembur Varnis
3786,7132-06,"Penyembur Varnis, Logam"
3787,7132-07,"Penyembur Varnis, Kayu"
3788,7132-08,"Penyembur Varnis, Rotan"
3789,7133,Pencuci Struktur Bangunan
3790,7133-01,Pencuci Luar Bangunan
3791,7133-02,Pembagas Pasir (luar bangunan)
3792,7133-03,Penyapu Cerobong Asap
3793,7133-04,Pekerja Penyahtinjaan
3794,72,"Pekerja Logam, Jentera, Dan Pekerja Pertukangan Yang Berkaitan"
3795,721,"Pekerja Pembuat Acuan, Pengimpal Logam Kepingan Dan Struktur, Dan Pekerja Pertukangan Yang Berkaitan"
3796,7211,Pembuat Acuan Dan Pembuat Teras Logam
3797,7211-01,Pembuat Acuan
3798,7211-02,Pembaik Acuan Foundri
3799,7211-03,Pembuat Acuan Lantai Foundri
3800,7211-04,Pembuat Acuan Logam
3801,7211-05,Pembuat Acuan Lubang Foundri
3802,7211-08,Pemeriksa Teras Foundri
3803,7211-09,Tukang Acuan
3804,7211-10,Jurufoundri
3805,7212,Pengimpal Dan Pemotong Besi
3806,7212-01,Jurukimpal
3807,7212-02,Pemotong Besi
3808,7212-03,Fomen Pengimpal
3809,7212-04,Tukang Penunu Plumbum
3810,7212-05,Jurukimpal Arka Tungsten Gas
3811,7212-06,Jurukimpal Bawah Laut
3812,7212-07,Tukang Loyang
3813,7212-09,Jurukimpal Paip Gas
3814,7212-10,Pengimpal Fabrikator
3815,7213,Pekerja Kepingan Logam
3816,7213-01,Pekerja Kepingan Logam
3817,7213-02,Tukang Tembaga
3818,7213-03,Pembuat Dandang
3819,7213-04,Tukang Tebuk
3820,7213-05,Pekerja Kepingan Logam Kenderaan
3821,7213-06,Pekerja Kepingan Logam Perhiasan
3822,7213-07,Pekerja Kepingan Logam Pesawat Udara
3823,7213-08,Pengetuk Panel Kenderaan
3824,7213-09,Pengetuk Panel Pesawat
3825,7213-10,Tukang Tanda Kepingan Logam
3826,7213-11,Tukang Pateri
3827,7213-12,Pemateri Logam
3828,7214,Penyedia Dan Penegak Logam Struktur
3829,7214-01,Pekerja Keluli Struktur
3830,7214-02,Penegak Kerangka Keluli
3831,7214-03,Pembuat Plat Kapal
3832,7214-04,Pekerja Rivet (Pasak)
3833,7214-05,Tukang Tanda Kerangka Logam
3834,7214-06,Serimala Kapal Logam
3835,7214-08,Penyedia Kerangka Logam
3836,7214-09,Jurugegas Badan Kapal
3837,7215,Jurutali Dan Penyambung Kabel
3838,7215-01,Jurutali
3839,7215-02,Jurutali Peralatan Angkat
3840,7215-04,Jurutali Pembalakan
3841,7215-05,Jurutali Kapal
3842,7215-06,Jurutali Penggerudian Telaga Petroleum dan Gas
3843,7215-07,Penyambung Tali Kabel
3844,7215-08,Jurutali Pesawat Udara
3845,7215-09,Jurutali Kabel Kereta api
3846,722,"Tukang Besi, Pembuat Peralatan, Dan Pekerja Pertukangan Yang Berkaitan"
3847,7221,"Tukang Besi, Tukang Tukul, Dan Pekerja Mesin Penempa Logam"
3848,7221-01,Tukang Besi
3849,7221-02,Tukang Tukul
3850,7221-03,Pekerja Drop-Hammer
3851,7221-04,Pekerja Penempaan Logam
3852,7221-05,Tukang Perkakas
3853,7222,Pembuat Peralatan Dan Pekerja Yang Berkaitan
3854,7222-01,Pembuat Perkakas Acuan
3855,7222-05,Tukang Anak Kunci
3856,7222-06,Tukang Kunci
3857,7222-07,Tukang Senjata Api
3858,7222-08,Jurugegas Penyelenggaraan Peralatan Statik
3859,7223,Pengeset Dan Pengendali Peralatan Untuk Mesin Kerja Logam
3860,7223-01,Pelaras Mesin Kerja Logam
3861,7223-02,Pengendali Mesin Kerja Logam
3862,7223-03,Pengeset Mesin Kerja Logam
3863,7223-04,Pengendali Mesin Boring
3864,7223-05,Pengeset Alatan Mesin
3865,7223-06,Pengendali Alatan Mesin
3866,7223-07,Pengendali Pengeset Alatan Mesin
3867,7224,"Penggilap Logam, Pencanai Roda, Dan Pengasah Peralatan"
3868,7224-01,Pencanai Logam
3869,7224-03,Pengasah Alat Mesin
3870,7224-04,Pembaik Gergaji
3871,7224-08,Pencanai Aci Engkol
3872,7224-09,Penggilap Logam
3873,7224-10,Pengemas Logam
3874,7224-11,Pencanai Ulir
3875,7224-12,Pengasah Pisau
3876,7224-13,Pencanai Alatan
3877,723,Mekanik Dan Pembaik Jentera
3878,7231,Mekanik Dan Pembaik Kenderaan Bermotor
3879,7231-01,Mekanik
3880,7231-02,Mekanik Jentolak
3881,7231-03,Mekanik Motosikal
3882,7231-04,Mekanik Kenderaan Bermotor
3883,7231-05,Mekanik Bengkel
3884,7231-06,Mekanik Garaj
3885,7231-07,Pekerja Bengkel
3886,7231-08,Fomen Kenderaan
3887,7231-09,Mekanik Automotif
3888,7231-10,Pembuat Bingkai Badan Kenderaan
3889,7231-11,Pemukul Panel Badan Kenderaan
3890,7231-12,Pemasang Sealant
3891,7231-13,Pemerinci Kereta
3892,7231-14,Mekanik Automotif Sistem Perkhidmatan Brek
3893,7231-15,Jurugegas Diesel (pengangkutan jalan)
3894,7231-16,Jurugegas Enjin (kereta motor)
3895,7231-17,Mekanik Sistem Enjin dan Minyak Kenderaan Bermotor
3896,7231-18,Mekanik Mekatronik Kenderaan Bermotor
3897,7231-19,Pembaik Kenderaan Bermotor
3898,7231-20,Mekanik Enjil Kecil
3899,7231-21,Ketua Mekanik
3900,7231-22,Mekanik Penyelenggaraan Kereta Elektrik
3901,7231-23,Mekanik Penyelenggaraan Kenderaan Gas Asli
3902,7231-24,Mekanik Penyelenggaraan Kenderaan Bahan Api
3903,7231-25,Kru Pit
3904,7232,Mekanik Dan Pembaik Enjin Pesawat Udara
3905,7232-01,Mekanik Enjin Pesawat
3906,7232-02,Jurugegas Enjin Pesawat
3907,7232-03,Mekanik Perkhidmatan Pesawat
3908,7232-04,Mekanik Helikopter
3909,7232-05,Mekanik Penyelenggaraan Pesawat (Kerangka Pesawat Udara)
3910,7232-07,Mekanik Pesawat
3911,7232-08,Mekanik Loji Kuasa dan Kerangka Pesawat Udara
3912,7232-09,Mekanik Kerangka Pesawat Udara
3913,7232-10,Mekanik Enjin Jet
3914,7232-11,Mekanik Sistem Pneudraulik (Pesawat)
3915,7232-12,Mekanik Loji Kuasa (Pesawat)
3916,7232-13,Mekanik Komponen Enjin Roket
3917,7233,Mekanik Dan Pembaik Jentera Pertanian Dan Perindustrian
3918,7233-01,Mekanik Jentera
3919,7233-02,Mekanik Jentera Perlombongan
3920,7233-03,Mekanik Alat Mesin
3921,7233-04,Mekanik Jentera Perindustrian
3922,7233-05,Mekanik Penyelenggaraan Loji
3923,7233-06,Pekerja Sapu Minyak dan Gris
3924,7233-07,Mekanik Jentera Pembinaan
3925,7233-09,Pembaik Jentera Ladang
3926,7233-10,Jurugegas Jentera Perlombongan
3927,7233-12,Jurugegas Enjin Pegun
3928,7233-13,Pembaik Enjin Pegun
3929,7233-14,Jurumesin Industri
3930,7233-15,Jurumesin CNC (Kawalan Berangka Komputer)
3931,7233-16,Penuras Jentera
3932,7234,Pembaik Basikal Dan Pekerja Yang Berkaitan
3933,7234-03,Pembaik Kincir
3934,7234-04,Mekanik Basikal
3935,7234-05,Pembaik Kereta Bayi
3936,7234-06,Pembaik Kerusi Roda
3937,7239,Mekanik Dan Pembaik Jentera Yang Tidak Dikelaskan Di Mana-Mana
3938,7239-01,Mekanik Enjin Marin
3939,7239-02,Mekanik Kapal
3940,7239-03,Jurugegas Enjin Kereta api
3941,7239-04,Pembaik Enjin Kereta api
3942,7239-05,Pembantu Pemeriksa Kilang dan Jentera Gred J19
3943,7239-06,Pembantu Mekanik
3944,73,Pekerja Kraftangan Dan Pencetakan
3945,731,Pekerja Kraftangan
3946,7311,Pembuat Dan Pembaik Peralatan Jitu
3947,7311-01,Pembuat Instrumen Jitu
3948,7311-02,Pembuat Instrumen Pembedahan
3949,7311-03,Pembuat Instrumen Saintifik
3950,7311-04,Pembuat Peralatan Fotografi
3951,7311-05,Pembuat Prostesis Pergigian
3952,7311-06,Pembuat Peralatan Ortopedik
3953,7311-07,Pembuat Jam
3954,7311-08,Pembuat Instrumen Optik
3955,7311-09,Pembuat Alat Imbangan
3956,7311-10,Pembuat Barometer
3957,7311-11,Pembuat Instrumen Meteorologi
3958,7311-12,Pembuat Instrumen Nautika
3959,7311-13,Pembaik Prostesis Pergigian
3960,7311-14,Pembaik Peralatan Ortopedik
3961,7311-15,Pembaik Jam
3962,7311-16,Pembaik Instrumen Optik
3963,7311-17,Pembaik Alat Imbangan
3964,7312,Pembuat Dan Penala Alat Muzik
3965,7312-01,Pembuat Peralatan Muzik
3966,7312-02,Penala Peralatan Muzik
3967,7312-04,Pembuat Piano
3968,7312-05,Pembuat Dram
3969,7312-07,Pelarik Peralatan Muzik
3970,7313,Pekerja Barang Kemas Dan Logam Berharga
3971,7313-01,Tukang Barang Kemas
3972,7313-02,Tukang Emas
3973,7313-03,Tukang Perak
3974,7313-04,Tukang Pewter
3975,7313-05,Pembaik Barang Kemas
3976,7313-06,Penggred Emas
3977,7313-07,Pemotong Permata
3978,7313-08,Pengatur Permata
3979,7313-09,Penggelek Logam Berharga
3980,7313-10,Pengukir Barang Kemas
3981,7313-12,Penyadur Enamel Barang Kemas
3982,7314,Tukang Tembikar Dan Pekerja Yang Berkaitan
3983,7314-01,Tukang Tembikar
3984,7314-02,Penekan Acuan Bata dan Jubin
3985,7314-04,Penuang Tembikar dan Porselin
3986,7314-06,Pelempar Alin Tembikar dan Porselin
3987,7314-07,Pembuat Acuan Tembikar dan Porselin
3988,7314-09,Pengendali Mesin Jig Tembikar dan Porselin
3989,7315,"Pembuat, Pemotong, Pencanai, Dan Pengemas Kaca"
3990,7315-01,Pembengkok Kaca
3991,7315-02,Peniup Kaca
3992,7315-03,Pemotong Kaca
3993,7315-04,Pemotong Kaca Optik
3994,7315-05,Penggilap Kaca
3995,7315-06,Pencanai Kaca
3996,7315-08,Pengemas Kaca
3997,7315-09,Pembikin Kerangka Kaca
3998,7316,"Penulis Papan Tanda, Pelukis Hiasan, Pengukir, Dan Penggores"
3999,7316-01,Penggores
4000,7316-02,Pengukir
4001,7316-03,Pembagas Pasir Kaca
4002,7316-04,Pencelup Seramik
4003,7316-05,"Penyadur Enamel, Kaca"
4004,7316-06,"Penyadur Perak, Cermin"
4005,7316-07,Pembuat Alat Elektrotaip
4006,7316-08,Pembuat Alat Stereotaip
4007,7316-09,"Penghala, Plat Pencetak"
4008,7316-10,Pelukis Hiasan
4009,7316-11,Penulis Papan Tanda
4010,7316-12,Pengukir Kaca
4011,7317,"Pekerja Kraftangan Kayu, Bakul Dan Bahan Yang Berkaitan"
4012,7317-01,Penganyam Tikar
4013,7317-02,"Pekerja Kraftangan, Barangan Kayu"
4014,7317-03,Pembuat Bakul
4015,7317-04,Pembuat Penyapu
4016,7317-05,"Pekerja Kraftangan, Tenunan Buluh"
4017,7317-06,"Pekerja Kraftangan, Barangan Batu"
4018,7317-07,Pembuat Berus
4019,7317-08,Pembuat Perabot Rotan
4020,7317-09,Pembuat Anyaman Rotan
4021,7317-10,Pengajar Pemintal
4022,7318,"Pekerja Kraftangan Tekstil, Barangan Kulit Dan Bahan Yang Berkaitan"
4023,7318-01,Penganyam Songket
4024,7318-02,Pencanting Batik
4025,7318-03,Pembuat Barangan Kulit
4026,7318-04,"Pekerja Kraftangan, Karpet"
4027,7318-05,"Pekerja Kraftangan, Barangan Kulit"
4028,7318-06,"Pekerja Kraftangan, Tekstil"
4029,7318-07,Penyikat Gentian Tekstil
4030,7318-08,Perayau Gentian Tekstil
4031,7318-09,Perajut
4032,7318-10,Pemutar Benang dan Yarn
4033,7318-11,Penenun Karpet
4034,7319,Pekerja Kraftangan Yang Tidak Dikelaskan Di Mana-Mana
4035,7319-01,Pembuat Lencana
4036,7319-02,Pekerja Tukangan
4037,7319-03,Pembuat Mainan Logam
4038,7319-04,Pembuat Aksesori
4039,7319-05,Pekerja Kraftangan
4040,732,Pekerja Pertukangan Pencetakan
4041,7321,Pekerja Prapencetakan
4042,7321-01,Pengatur Huruf
4043,7321-03,Pengatur Taip
4044,7321-04,Pekerja Kelengkapan Penerbitan Desktop
4045,7321-05,Pekerja Penekan Garisan
4046,7321-06,Pekerja Talian Rentas
4047,7321-07,Pembuat Skrin
4048,7321-08,Pekerja Pra-Penekan
4049,7321-09,Pembuat Plat (Pencetakan)
4050,7322,Pencetak
4051,7322-01,Pencetak
4052,7322-02,Pencetak Tekstil
4053,7322-03,Pencetak Blok
4054,7322-04,Operator Penekan Pencetakan Timbul
4055,7322-05,Penyurih Corak Tekstil
4056,7322-06,Operator Penekan Digital
4057,7322-07,Pengendali Feeder (Pencetakan)
4058,7322-08,Operator Penekan Flexographic
4059,7322-09,Operator Penekan Gravure
4060,7322-10,Pencetak Skrin
4061,7322-11,Operator Penekan Pencetakan Skrin
4062,7322-12,Operator Penekan Web
4063,7322-13,"Operator Mesin, Penekan Cetak Silinder"
4064,7322-14,"Operator Mesin, Penekan Cetak Ofset"
4065,7322-15,"Operator Mesin, Penekan Cetak Putar"
4066,7322-16,"Operator Mesin, Penekan Cetak Rotogravure"
4067,7322-17,"Operator Mesin, Penekan Cetak Litografi Langsung"
4068,7322-18,"Operator Mesin, Penekan Cetak Kertas Dinding"
4069,7322-19,Pencetak Kertas Dinding
4070,7322-20,Operator Pencetakan
4071,7322-21,Pembantu Pencetakan
4072,7323,Pekerja Kemasan Akhir Dan Penjilid Pencetakan
4073,7323-02,Pemotong Kertas
4074,7323-03,Pelekap Peta dan Carta
4075,7323-04,Pencetak Timbul Buku
4076,7323-05,Pekerja Kemasan Akhir Buku
4077,7323-06,"Operator, Collator"
4078,7323-08,Operator Foil Stamp
4079,7323-09,Operator Folder
4080,7323-10,Operator Pelbagai Jilid
4081,7323-12,Operator Saddle Stitch
4082,7323-13,"Operator Mesin, Penjilidan Buku"
4083,7323-14,"Operator Mesin, Ukir Timbul Buku"
4084,7324,Pengukir Dan Penggores Pencetakan Dan Foto
4085,7324-01,Pengukir Pencetakan Plat Logam
4086,7324-02,Penggores Pencetakan Plat Logam
4087,7324-03,Pengukir Pencetakan Batu Litografi
4088,7324-04,Pengukir Foto
4089,7324-05,Pekerja Bilik Gelap
4090,7324-06,Pencuci Filem Warna dan Hitam Putih
4091,7324-07,Pencuci Filem X-Ray
4092,74,Pekerja Pertukangan Elektrik Dan Elektronik
4093,741,Pemasang Dan Pembaik Kelengkapan Elektrik
4094,7411,Juruelektrik Bangunan Dan Yang Berkaitan
4095,7411-01,Juruelektrik Bangunan
4096,7411-02,Juruelektrik Pembinaan
4097,7411-03,Juruelektrik
4098,7412,Mekanik Dan Jurugegas Elektrik
4099,7412-01,Penjaga Jentera Elektrik Gred J19
4100,7412-02,Penjaga Jentera Elektrik Gred 11
4101,7412-03,Penjaga Jentera Sekatan Voltan Tinggi
4102,7412-04,Jurugegas Elektrik
4103,7412-06,Pendawai
4104,7412-07,Pembaik Pulih Elektrik Peralatan Rumah
4105,7412-09,Fomen Penyelenggaraan
4106,7412-10,Penjana Generator Elektrik
4107,7412-11,Jurugegas Elektrik Jentera Pejabat
4108,7412-12,Jurugegas Elektrik Motor dan Dinamo
4109,7412-13,Jurugegas Penyelenggaraan
4110,7412-14,Juruelektrik Kapal
4111,7412-15,Juruelektrik Kenderaan
4112,7412-16,Juruelektrik Pesawat
4113,7412-17,Juruelektrik Pentas dan Studio
4114,7412-18,Mekanik Lif
4115,7412-20,Jurugegas Generator Elektrik
4116,7412-21,Penjaga Jentera Elektrik
4117,7412-22,Penjaga Jentera Elektrik Gred P4
4118,7412-23,Penjaga Jentera Elektrik AO
4119,7412-24,Penjaga Jentera Elektrik BO
4120,7412-25,Pendawai Elektrik
4121,7412-26,Penjaga Jentera Elektrik Gred J26
4122,7413,Pemasang Dan Pembaik Talian Elektrik
4123,7413-01,Pemasang Talian Tenaga Elektrik
4124,7413-02,Pekerja Talian Kabel
4125,7413-03,Penyambung Kabel Elektrik
4126,7413-04,Pemasang Kabel Bawah Tanah
4127,7413-05,Pemasang Kabel Bawah Laut
4128,7413-06,Pekerja Sistem Pembaik
4129,7413-07,Juruelektrik Penyelenggaraan
4130,7413-08,Pemasang Pemanas dan Penyelenggaraan Terma Solar
4131,7413-09,Pemasang Penyelenggaraan dan Pemasangan Photovoltaic Solar
4132,7413-10,Pemasang Penyelenggaraan dan Pemasangan Air Panas Solar
4133,7413-11,Pemasang Penyelenggaraan dan Pemasangan Biomas
4134,7413-12,Pemasang Penyelenggaraan dan Pemasangan Hydro
4135,742,Pemasang Dan Pembaik Elektronik Dan Telekomunikasi
4136,7421,Mekanik Dan Penservis Elektronik
4137,7421-01,Jurugegas Elektronik
4138,7421-04,"Jurugegas Elektronik, Kelengkapan Meteorologi"
4139,7421-05,Mekanik Kelengkapan Elektronik
4140,7422,Pemasang Dan Penservis Teknologi Maklumat Dan Komunikasi
4141,7422-02,Pemasang Telefon dan Telegraf
4142,7422-07,Jurugegas Peralatan Komputer
4143,7422-11,Jurugegas Elektronik Komputer
4144,7422-13,Operator Peralatan Tanpa Wayar
4145,7422-14,Operator Komputer Gred 14
4146,75,Pekerja Pemprosesan Makanan Dan Yang Berkaitan
4147,751,Pekerja Pemprosesan Makanan Dan Yang Berkaitan
4148,7511,"Pekerja Pemprosesan Daging, Ikan, Dan Penyedia Makanan Yang Berkaitan"
4149,7511-01,Penyembelih
4150,7511-02,Pemotong Daging
4151,7511-03,Penghiris Daging
4152,7511-04,Pembuat Sosej
4153,7511-05,Pengawet Daging
4154,7511-06,Penggaram Ikan
4155,7511-07,Penjeruk Ikan
4156,7511-08,Pemfilet Ikan
4157,7511-09,Pembersih Sarang Burung
4158,7511-10,"Pemeriksa Halal, Rumah Sembelihan"
4159,7511-11,"Penyembelih Halal, Rumah Sembelihan"
4160,7512,"Pembuat Roti, Pastri, Pasta, Dan Konfeksi"
4161,7512-01,Pembuat Roti
4162,7512-02,Pembuat Pastri
4163,7512-03,Pembuat Konfeksi
4164,7512-04,Pembuat Coklat
4165,7512-05,Pembuat Yis
4166,7512-06,Pembuat Mee
4167,7512-07,Pembuat Pasta
4168,7512-08,Pembuat Gula-Gula Getah
4169,7512-09,Pembantu Bakeri
4170,7513,Pembuat Produk Tenusu
4171,7513-01,Pembuat Keju
4172,7513-03,Pembuat Mentega
4173,7514,"Pengawet Buah-Buahan, Sayur-Sayuran Dan Yang Berkaitan"
4174,7514-02,Pengawet Sayuran
4175,7514-03,Pembuat Jus Buah-Buahan
4176,7514-05,Pembuat Jus Sayur-Sayuran
4177,7514-07,Pemerah Minyak
4178,7514-08,Penjeruk Sayuran/Buah
4179,7515,Perasa Dan Penggred Makanan Dan Minuman
4180,7515-10,Penggred Sayur-Sayuran
4181,7515-14,Pemeriksa Padi
4182,7515-16,Penggred Ikan
4183,7515-18,Penggred Telur
4184,7515-19,Penggred Sarang Burung
4185,7515-20,"Inspektor Kualiti, Pemprosesan Daging Halal"
4186,7516,Penyedia Tembakau Dan Pembuat Produk Tembakau
4187,7516-06,Pengawet Tembakau
4188,7516-08,Penghiris Tembakau
4189,76,Pekerja Kemahiran Lain
4190,761,"Perawat Kayu, Pembuat Kabinet Dan Pekerja Pertukangan Yang Berkaitan"
4191,7611,Perawat Kayu
4192,7611-02,Perawat Kayu
4193,7611-03,Pengering Kayu
4194,7611-04,Penggred Kayu
4195,7611-05,Penggred Venir
4196,7612,Pembuat Kabinet Dan Pekerja Yang Berkaitan
4197,7612-01,Pembuat Kabinet
4198,7612-04,Pembuat Keranda
4199,7612-05,Pembuat Terompah
4200,7612-06,Pembuat Model Kayu
4201,7612-07,Pemasang Venir
4202,7612-08,Pembuat Bingkai Gambar
4203,7612-11,Pembuat Kerja Kayu
4204,7612-13,Pembuat Alat Permainan Kayu
4205,7612-14,Pembuat Peralatan Sukan Kayu
4206,7612-15,Penggilap Kayu
4207,7612-16,Pengilat Kayu
4208,7612-17,Pengukir Kayu
4209,7612-18,Pembuat Paten Kayu
4210,7613,Pengeset Dan Pengendali Perkakas Mesin Untuk Kerja Kayu
4211,7613-03,Pengeset Mesin Kayu
4212,7613-05,"Penggergaji Tepat, Kerja Kayu"
4213,7613-07,"Operator Mesin Penetap, Kerja Kayu"
4214,762,Pembuat Pakaian Dan Yang Berkaitan
4215,7621,"Tukang Jahit, Penjahit Pakaian, Penjahit Pakaian Bulu, Dan Pembuat Topi"
4216,7621-03,Pembuat Topi Wanita
4217,7621-04,Pembuat Songkok
4218,7621-06,Pembuat Rambut Palsu
4219,7621-07,Operator Menjahit
4220,7621-09,Pekerja Menjahit
4221,7621-10,Pembaik Permaidani
4222,7621-11,Penyulam Tangan
4223,7621-12,Pembuat Bunga Tiruan
4224,7621-13,Pembuat Anak Patung dan Alat Permainan Lembut
4225,7621-14,Pembaik Fabrik Kait
4226,7621-15,Pembuat Renda Tangan
4227,7621-16,Pembuat Guni
4228,7621-17,Pembuat Layar Khemah dan Kajang
4229,7621-18,Pembuat Payung
4230,7621-20,Pembuat Sarung Tangan Jaring
4231,7621-21,Penarik Benang Mesin Tenun Tangan
4232,7621-22,Penenun Sarung Tangan Kain
4233,7621-23,Pengait Krusye Tangan
4234,7621-24,Pengait Tangan
4235,7621-25,Pengajar Menenun
4236,7621-27,Pembuat Telekung
4237,7621-28,Penjahit Bulu Binatang
4238,7621-29,Pembuat Sampel
4239,7622,Pembuat-Pola Dan Pemotong Pakaian Dan Bahan Lain Yang Berkaitan
4240,7622-01,"Pembuat-Pola, Pakaian"
4241,7622-02,"Pembuat-Pola, Topi"
4242,7622-03,Pembuat Pakaian
4243,7622-05,Pemotong Khemah
4244,7622-09,Pemotong Tilam
4245,7622-10,Pembuat-Pola Kertas
4246,7622-11,"Pembuat-Pola, Khemah"
4247,7622-12,"Pembuat-Pola, Layar"
4248,7622-13,"Pembuat-Pola, Payung"
4249,7622-14,"Pembuat-Pola, Sarung Tangan"
4250,7622-15,"Pembuat-Pola, Tilam"
4251,7622-16,"Pembuat-Pola, Bulu Binatang"
4252,7622-17,Prototaip Digital
4253,7623,Pembuat Kasut Dan Pekerja Yang Berkaitan
4254,7623-01,Pembuat Kasut
4255,7623-02,Pembuat Kasut Bedah
4256,7623-03,Pembuat Kasut Ortopedik
4257,7623-04,Pembaik Kasut
4258,7623-06,Pembuat Pola Kasut
4259,7623-07,Pembuat Kasut Sukan
4260,7623-08,Pembuat Peralatan Kasut Sukan
4261,7623-09,Pembuat Beg Tangan Kulit
4262,7623-10,Pembuat Dompet
4263,7623-11,Pembuat Tali Pinggang
4264,7624,Pekerja Upholsteri Dan Yang Berkaitan
4265,7624-01,Pembuat Upholsteri Perabot
4266,7624-02,Pembuat Upholsteri Kenderaan
4267,7624-03,Pembuat Tilam
4268,7624-05,Pembuat Perabot Lembut
4269,7624-06,Pembuat Peralatan Tempat Tidur
4270,7624-07,Pembuat Upholsteri Pesawat Udara
4271,7624-08,Pembuat Upholsteri Gerabak Kereta api
4272,7624-09,Pembuat Upholsteri Ortopedik
4273,7625,"Pengemas Kulit Bulu, Penyamak Kulit Binatang, Dan Penyedia Belulang"
4274,7625-02,Penyamak Kulit
4275,763,Pekerja Kemahiran Lain Dan Yang Berkaitan
4276,7631,Penyelam Dalam Air
4277,7631-01,Juruselam
4278,7631-02,"Juruselam, Pembinaan"
4279,7631-03,Pekerja Dalam Air
4280,7631-04,Juruselam Bawah Air
4281,7632,Pembedil Dan Pembagas
4282,7632-02,Pembagas
4283,7632-04,Peletup
4284,7633,Penggred Dan Penguji Produk (Tidak Termasuk Makanan Dan Minuman)
4285,7633-02,Inspektor Kualiti
4286,7633-03,Pengelas Benang Bulu
4287,7634,Pengasap Dan Pengawal Perosak Dan Rumpai
4288,7634-06,"Operator Pengasapan, Perkhidmatan"
4289,7634-07,"Operator Pengasapan, Rumpai"
4290,7634-08,"Operator Pengasapan, Tanih"
4291,7634-09,Pengawal Rumpai
4292,7639,Pekerja Kemahiran Lain Dan Yang Berkaitan Yang Tidak Dikelaskan Di Mana-Mana
4293,7639-01,Pengemas Lensa Optik
4294,7639-02,Pembuat Acuan Lensa Optik
4295,7639-03,Operator Kamera
4296,7639-04,Pembantu Kemahiran Gred H19
4298,81,Operator Mesin Dan Loji Pegun
4299,811,Operator Loji Perlombongan Dan Pemprosesan Galian
4300,8111,Pelombong Dan Pekerja Kuari
